AGE,GENDER,DOMAIN,PhD,YEARSEXP,UNIVERSITY,UOC_POSITION,OTHER_POSITION,OTHERSTATUS,USERWIKI,PU1.DEV_STUD_SKILL,PU2.IMPRV_STUD_LEARN,PU3.USEFUL_FOR_TEACH,PEU1.USER_FRIENDLY,PEU2.EZ_FIND_INFO,PEU3.EZ_EDIT_INFO,ENJ1.STIMULATE_CERIOSITY,ENJ2.ENTERTAINING,Qu1.CONTENT_RELIABLE,Qu2.CONTENT_UPDATED,Qu3.CONTENT_COMPRESV,Qu4.CONTENT_LOWER_QUALITY,Qu5.CONTENT_EDIT_TRUST,Vis1.VIZ_IMPROV,Vis2.EZ_RECORD_CONTRIB,Vis3.USED_CITE_PAPER,Im1.POPULAR_COLLEAGUES,Im2.APPREC_EDU_SHARE,Im3.COLLEAGUES_USING,SA1.IMPT_SHARE_ACADEMIC,SA2.IMPT_SHARE_RESEARCH,SA3.IMPT_STUD_ONLINE_COL,Use1.USED_TO_TEACH_MTRIAL,Use2.USED_TO_DEV_ACTIV,Use3.REC_STUD_USE,Use4.REC_COLL_USE,Use5.AGGREE_STUD_USE,Pf1.CONTRIB_BLOG,Pf2.CONTRIB_SOCIAL_NET,Pf3.PUBLISH_ACAD_OPEN_PLAT,JR1.UNIV_PROMOTE_OPEN_COLLAB,JR2.UNIV_CONSIDER_OPEN_COLLAB,BI1.FUTURE_REC_USE_COLL_STUD,BI2.FUTURE_USE_TEACH,Inc1.HELPFUL_BEST_PRAC,Inc2.HELPFUL_GET_INST_COLL,Inc3.HELPFUL_GET_TRAIN,Inc4.HELPFUL_INSTITUTION_RECGN,Exp1.CONSULT_EXPERTISE,Exp2.CONSULT_ACAD_ISSUES,Exp3.CONSULT_PERSONAL_ISSUES,Exp4.CONTRIB_WIKI,Exp5.USING_WORK_WITH_STUD
59,Male,Sciences,Yes,36,UOC,Professor,,,No,5,5,5,5,5,3,5,3,5,5,3,3,5,5,3,3,3,3,3,5,5,5,5,3,5,5,5,5,1,5,5,1,5,5,5,3,3,5,5,5,5,1,1
36,Male,Engineering&Architecture,Yes,9,UOC,Associate,,,No,3,3,5,5,5,3,5,5,1,1,1,3,3,5,5,1,3,5,3,5,5,5,1,1,1,1,3,1,1,1,5,1,3,3,5,1,1,5,1,1,3,1,1
34,Male,Engineering&Architecture,Yes,7,UOC,Associate,,,No,3,3,3,5,5,5,1,5,1,5,1,3,1,1,5,1,3,5,3,5,5,5,1,1,3,3,5,1,1,1,5,1,1,1,5,1,5,1,1,1,1,1,5
41,Male,Others,Yes,15,UOC,Assistant,,,No,3,3,1,5,5,1,3,5,1,3,3,5,1,5,3,1,1,5,3,5,5,5,1,1,1,1,3,3,5,3,5,5,1,1,5,5,3,1,1,1,1,1,5
43,Male,Law&Politics,No,19,UOC,Lecturer,,,No,1,3,3,5,5,1,5,5,3,3,1,1,3,1,1,1,1,1,1,5,5,5,1,1,1,1,3,1,1,3,5,3,1,1,3,3,3,3,1,3,3,1,1
43,Male,HealthSciences,No,4,UOC,Lecturer,,,No,1,1,1,3,1,3,5,1,1,1,1,3,1,1,1,1,1,1,1,3,3,3,1,1,1,1,1,1,3,1,5,5,1,1,3,3,3,3,1,1,1,1,1
32,Male,Engineering&Architecture,Yes,8,UOC,Associate,,,No,3,5,5,5,5,5,5,5,5,5,5,3,5,5,5,1,3,5,5,5,5,5,1,1,1,1,5,1,1,5,3,3,3,3,5,5,3,5,5,5,5,1,5
32,Male,Engineering&Architecture,No,7,UOC,Lecturer,,,No,5,3,3,5,5,3,5,5,3,5,1,5,5,3,5,1,3,5,1,5,5,5,1,1,1,1,1,1,1,1,5,1,1,1,1,5,1,5,1,1,5,1,1
52,Male,Arts&Humanities,Yes,10,UOC,Assistant,,,Yes,1,1,5,5,5,1,3,5,5,5,1,5,1,1,5,1,1,5,3,5,5,1,1,1,5,3,5,1,1,1,5,3,1,5,5,5,3,3,5,5,5,1,3
31,Male,Others,Yes,10,UOC,Assistant,,,No,5,5,5,5,5,5,5,5,5,5,3,1,5,5,3,1,3,5,5,5,5,5,3,5,5,5,5,1,1,1,5,5,5,5,5,5,5,5,5,5,5,1,1
37,Male,Others,Yes,11,UOC,Assistant,,,No,1,3,3,5,5,3,3,3,1,3,1,5,3,3,3,1,1,5,1,5,5,5,1,1,1,1,3,1,1,3,5,5,3,3,3,5,1,3,1,1,1,1,1
33,Male,Engineering&Architecture,Yes,5,UOC,Assistant,,,No,1,3,5,3,5,3,5,5,5,5,3,1,3,1,3,1,1,5,1,3,5,5,1,1,1,3,1,1,1,1,3,1,1,3,5,5,5,5,5,5,5,1,3
32,Male,Arts&Humanities,No,2,UOC,Instructor,,,No,5,5,5,5,5,5,5,5,3,5,3,1,5,3,3,5,5,5,5,5,5,5,3,3,5,5,5,5,1,3,5,5,3,5,5,1,1,5,5,5,3,1,5
52,Male,Others,Yes,23,UOC,Associate,,,Yes,3,3,3,5,5,5,3,5,5,5,3,3,3,5,5,1,1,3,1,5,5,5,1,3,3,3,5,5,3,5,1,1,3,3,5,5,5,5,3,3,5,1,5
62,Male,Arts&Humanities,Yes,17,UOC,Associate,,,Yes,5,5,5,5,5,5,3,3,5,5,3,3,5,1,3,5,1,1,1,5,5,5,5,5,5,5,5,5,5,5,3,1,5,5,3,5,3,5,5,5,3,5,5
50,Male,Arts&Humanities,No,15,UOC,Assistant,,,No,3,1,3,5,5,3,5,5,3,1,3,5,5,5,3,3,3,,1,5,5,5,3,1,5,5,5,1,1,1,5,1,5,5,5,5,3,3,5,5,1,1,1
42,Male,Others,Yes,20,UOC,Associate,,,No,5,3,5,5,3,5,5,5,3,5,3,5,3,5,5,1,1,1,1,5,5,5,3,3,5,3,5,5,5,5,3,1,5,5,5,3,3,5,3,5,5,1,1
43,Male,Others,Yes,20,UOC,Associate,,,No,5,5,5,5,3,1,5,5,3,5,3,1,5,1,3,3,1,5,3,5,5,5,1,1,5,5,5,1,1,1,5,3,5,5,3,5,3,3,5,5,5,1,1
44,Male,Others,Yes,17,UOC,Associate,,,No,3,5,5,5,5,3,5,5,5,5,5,1,5,3,3,1,3,5,3,5,5,5,1,1,1,1,3,1,1,1,5,3,3,3,5,5,5,3,1,1,5,1,3
41,Male,Engineering&Architecture,Yes,,UOC,Assistant,,,No,5,5,5,1,3,1,5,3,5,5,5,1,5,3,3,5,5,5,5,5,5,5,5,5,5,5,5,3,5,5,5,1,5,5,3,3,3,5,5,5,5,1,5
50,Male,Arts&Humanities,Yes,23,UOC,Associate,,,Yes,5,5,5,5,5,5,5,5,5,5,5,1,5,5,3,5,1,1,5,5,5,5,3,5,5,5,5,3,1,5,1,1,5,5,5,5,3,5,5,5,5,1,5
48,Male,Arts&Humanities,Yes,16,UOC,Associate,,,No,5,5,5,5,5,5,5,5,5,5,3,1,3,5,3,1,5,3,5,5,5,5,1,5,5,5,5,5,5,3,5,5,5,5,5,5,1,1,5,5,5,1,5
47,Male,Others,Yes,17,UOC,Associate,,,No,5,5,5,5,5,5,5,5,5,5,3,1,3,3,5,1,3,3,5,5,5,5,1,1,1,1,5,1,3,3,5,1,3,5,5,5,5,3,3,5,5,1,1
51,Male,Arts&Humanities,Yes,13,UOC,Associate,,,No,3,1,1,1,1,,3,1,5,5,1,3,5,,,1,1,3,,5,5,5,3,3,5,,5,5,1,1,5,1,5,5,5,5,5,5,5,5,5,1,1
46,Male,Law&Politics,Yes,13,UOC,Associate,,,Yes,,,,5,5,3,5,5,3,3,1,5,3,,,1,1,5,,5,5,5,1,1,1,1,3,3,5,5,,,,,5,5,5,,1,,5,1,1
42,Male,HealthSciences,Yes,12,UOC,Assistant,,,No,1,3,5,3,5,3,5,5,3,3,3,3,5,3,5,1,1,5,3,5,5,5,1,1,1,1,3,1,5,3,5,5,1,1,1,1,1,1,3,5,5,1,1
44,Male,Engineering&Architecture,Yes,17,UOC,Associate,,,No,1,5,5,5,5,,3,,5,5,5,1,,,,3,,,,5,,,3,,3,,5,1,1,1,,,1,,1,1,1,1,5,5,5,1,5
53,Female,Arts&Humanities,Yes,6,UOC,Associate,,,No,1,1,1,5,5,3,3,3,1,5,1,3,1,1,3,1,1,1,1,3,3,3,1,1,1,1,3,3,3,1,5,5,3,1,5,5,5,5,1,5,5,1,3
39,Female,Others,Yes,16,UOC,Associate,,,No,1,5,3,5,5,,5,5,3,3,5,5,3,,,1,1,,,5,5,5,1,1,,,5,1,3,1,5,1,,3,5,3,,5,3,1,1,1,1
42,Female,Others,No,17,UOC,Assistant,,,No,1,3,3,5,3,3,3,5,3,3,3,5,1,3,3,1,1,5,3,5,5,5,1,1,1,1,3,1,1,3,5,5,3,3,5,5,5,5,3,3,5,1,1
46,Female,Engineering&Architecture,Yes,15,UOC,Assistant,,,No,5,1,5,5,5,5,1,5,1,1,1,1,1,,3,1,1,3,,5,1,3,1,1,1,1,1,1,1,3,1,1,1,1,5,5,5,,3,5,3,1,1
47,Female,Others,No,20,UOC,Assistant,,,No,3,3,3,5,5,5,5,5,5,5,5,3,3,3,5,1,1,3,1,5,5,5,1,1,1,1,3,1,1,1,3,3,1,1,5,3,3,1,1,1,5,1,1
39,Female,Others,Yes,18,UOC,Assistant,,,No,1,3,1,5,5,1,3,1,5,3,3,5,3,3,1,1,1,1,1,5,5,5,1,1,1,1,3,5,5,3,3,1,1,3,1,5,5,5,1,3,3,1,1
38,Female,Arts&Humanities,Yes,12,UOC,Assistant,,,No,3,5,3,5,,1,5,5,5,5,3,3,3,3,1,1,1,3,3,5,5,5,3,1,3,3,3,3,1,1,3,1,3,3,5,5,5,5,5,5,1,1,3
43,Female,Others,No,14,UOC,Associate,,,No,3,1,1,5,5,3,5,5,3,3,5,1,3,3,3,1,1,5,3,5,5,5,1,1,1,1,3,1,1,1,5,3,3,3,3,5,3,5,1,3,5,1,5
42,Female,Others,No,3,UOC,Lecturer,,,No,1,1,1,5,3,5,5,5,1,3,1,1,1,1,5,1,1,5,1,5,5,5,1,1,1,1,1,1,3,3,5,5,3,3,5,5,5,5,1,1,1,1,5
46,Female,Engineering&Architecture,Yes,16,UOC,Assistant,,,No,3,3,3,5,5,3,5,3,3,5,3,3,3,1,3,1,1,5,3,5,3,5,3,1,3,1,3,1,1,3,5,1,5,5,5,5,5,5,5,3,5,1,3
40,Female,Others,Yes,12,UOC,Assistant,,,No,3,3,3,5,5,5,5,5,3,3,3,1,5,5,3,1,1,3,1,5,5,5,1,1,3,3,5,3,3,3,5,3,5,5,5,5,3,3,5,5,5,1,5
48,Female,Arts&Humanities,Yes,16,UOC,Associate,,,No,3,3,3,5,5,1,5,3,3,3,3,5,1,1,5,1,3,3,3,5,5,5,3,3,5,1,3,1,1,1,3,1,1,5,5,1,1,5,5,5,5,1,3
36,Female,Others,Yes,10,UOC,Associate,,,No,1,1,3,5,5,5,3,3,5,5,5,3,5,3,3,1,3,5,5,5,5,5,3,1,5,5,5,3,1,3,5,5,5,5,3,3,3,3,5,5,5,1,1
37,Female,Others,Yes,10,UOC,Associate,,,Yes,5,3,3,5,5,5,5,5,5,5,5,5,3,1,5,1,1,1,5,5,5,5,1,1,3,3,5,1,5,1,5,1,3,3,1,5,1,1,3,3,5,1,5
50,Female,Engineering&Architecture,Yes,20,UOC,Associate,,,No,1,1,1,5,5,5,3,,3,3,3,5,3,1,1,1,3,5,5,5,5,5,1,1,1,1,5,1,3,1,5,1,3,3,3,3,3,3,1,5,5,1,1
43,Female,Engineering&Architecture,Yes,16,UOC,Assistant,,,Yes,5,5,5,5,3,3,5,5,5,5,5,3,5,5,5,3,5,5,3,5,5,5,5,5,5,5,5,1,1,1,5,5,5,5,5,5,5,5,5,5,3,3,5
49,Female,Others,Yes,25,UOC,Associate,,,No,3,3,3,5,5,3,3,3,5,5,1,1,3,3,3,1,1,1,5,5,5,5,3,1,3,3,1,1,1,1,5,3,3,3,5,5,5,5,5,5,5,1,1
35,Female,Others,Yes,11,UOC,Assistant,,,No,1,3,3,5,3,,3,5,3,3,1,,3,1,,1,1,5,5,3,3,5,1,1,1,1,1,1,1,1,5,3,1,1,,,3,1,3,3,3,1,1
46,Female,HealthSciences,Yes,22,UOC,Associate,,,No,5,3,3,3,5,3,3,1,5,5,1,3,5,5,3,1,1,5,5,1,1,1,1,3,1,1,5,1,1,1,5,5,3,1,5,5,5,5,1,5,5,1,5
40,Female,Others,Yes,15,UOC,Associate,,,No,5,5,5,1,5,3,3,5,3,5,3,3,5,5,5,3,3,3,5,5,5,5,5,5,5,5,5,1,5,5,5,5,5,5,5,5,5,5,5,5,5,1,5
35,Female,Others,No,6,UOC,Assistant,,,No,3,3,5,5,5,,5,5,5,5,5,3,5,,,1,,5,,5,5,5,1,1,1,1,3,1,1,1,5,5,3,3,5,5,5,5,5,5,5,1,1
41,Female,Others,Yes,18,UOC,Associate,,,No,1,1,3,5,3,5,5,1,1,1,1,1,1,1,1,1,1,5,1,1,5,3,1,,1,1,1,1,1,1,5,3,3,1,1,1,1,1,5,5,3,1,3
41,Female,Others,Yes,15,UOC,Associate,,,No,5,3,5,5,5,1,5,3,1,3,1,5,3,1,1,1,1,1,1,5,5,5,1,1,1,1,3,1,1,1,3,3,1,1,5,5,5,1,1,5,5,1,3
55,Female,Arts&Humanities,Yes,9,UOC,Associate,,,Yes,5,5,5,5,5,5,3,3,3,3,3,1,3,5,3,1,3,1,3,5,5,5,5,1,5,1,5,1,1,1,5,5,5,5,5,5,5,5,5,5,5,3,5
45,Female,Law&Politics,No,17,UOC,Lecturer,,,No,1,1,3,5,5,3,3,3,3,3,1,3,3,3,3,1,1,1,1,3,3,3,1,1,1,1,1,,1,1,5,5,1,1,5,5,5,5,1,3,3,1,3
45,Female,Arts&Humanities,Yes,18,UOC,Associate,,,No,1,1,3,5,5,5,5,5,5,3,3,5,5,5,,1,1,1,3,5,5,5,1,1,1,1,5,1,3,3,5,1,3,3,5,5,5,5,1,5,5,1,1
37,Female,Others,Yes,9,UOC,Associate,,,No,5,3,3,3,5,5,3,5,5,5,3,3,3,5,5,5,5,5,5,5,5,5,3,1,3,3,5,3,5,5,5,5,5,5,5,5,5,5,5,5,5,1,5
35,Female,Others,No,11,UOC,Lecturer,,,No,1,1,1,5,3,3,,3,1,1,3,5,1,1,3,1,1,5,1,5,5,1,1,1,1,1,1,1,1,5,3,3,1,1,5,5,5,5,1,1,1,1,1
33,Female,Law&Politics,No,10,UOC,Lecturer,,,No,1,3,3,5,5,3,5,5,3,3,3,1,1,3,3,1,1,1,1,3,3,3,1,1,1,1,1,1,1,1,5,3,3,1,5,5,5,5,1,5,5,1,1
44,Female,Arts&Humanities,Yes,,UOC,Associate,,,No,1,1,1,5,5,3,1,1,1,1,1,5,1,1,3,1,1,3,1,5,5,5,1,1,1,1,3,3,3,1,5,3,1,1,5,1,1,1,1,3,1,1,5
